,article_title,article_section,article_date,article_url,title_sentiment
19,Brexit and Britain’s broken democracy | Letters,Politics,2019-06-18,https://www.theguardian.com/politics/2019/jun/18/brexit-and-britains-broken-democracy,-0.4
20,Tonight’s TV: Britain’s Brexit shambles unscrambled,Television & radio,2019-07-18,https://www.theguardian.com/tv-and-radio/2019/jul/18/tonights-tv-britains-brexit-crisis,0.0
21,Thursday briefing: Battle royal looms over Brexit,World news,2019-08-08,https://www.theguardian.com/world/2019/aug/08/thursday-briefing-battle-royal-looms-over-brexit,0.0
22,"Ian McEwan announces surprise Brexit satire, The Cockroach",Books,2019-09-12,https://www.theguardian.com/books/2019/sep/12/ian-mcewan-announces-surprise-brexit-satire-the-cockroach,0.0
23,Brexit: Kwasi Kwarteng criticised for 'biased judges' comment,Politics,2019-09-12,https://www.theguardian.com/politics/2019/sep/12/brexit-kwasi-kwarteng-criticised-for-biased-judges-comment,0.0
24,Michel Barnier: no grounds for reopening Brexit talks,Politics,2019-09-12,https://www.theguardian.com/politics/2019/sep/12/michel-barnier-no-grounds-for-reopening-brexit-talks,0.0
25,Brexit and the failure of Westminster democracy | Letters,Politics,2019-08-05,https://www.theguardian.com/politics/2019/aug/05/brexit-and-the-failure-of-westminster-democracy,-0.3166666666666667
26,‘Get Ready for Brexit’: government launches information blitz,Politics,2019-09-01,https://www.theguardian.com/politics/2019/sep/01/get-ready-for-brexit-government-launches-information-blitz,0.2
27,Abuses of power and of Brexit statistics | Letter,Politics,2019-08-27,https://www.theguardian.com/politics/2019/aug/27/abuses-of-power-and-of-brexit-statistics,0.0
28,"Property market resilient despite Brexit uncertainty, says Halifax",Money,2019-09-06,https://www.theguardian.com/money/2019/sep/06/property-market-resilient-despite-brexit-uncertainty-says-halifax,0.0
29,"Brexit crisis damaging civil service morale, say insiders",Politics,2019-08-29,https://www.theguardian.com/politics/2019/aug/29/brexit-crisis-damaging-civil-service-morale-say-insiders,0.0
30,Toyota plans post-Brexit pause at Burnaston factory,Business,2019-08-29,https://www.theguardian.com/business/2019/aug/29/toyota-brexit-burnaston-factory-no-deal,0.0
31,A family divided: how Brexit fractured the Johnsons,Politics,2019-09-05,https://www.theguardian.com/politics/2019/sep/05/a-family-divided-how-brexit-fractured-the-johnsons,0.0
32,Brussels baffled by Boris Johnson's Brexit progress claims,Politics,2019-09-03,https://www.theguardian.com/politics/2019/sep/03/brussels-baffled-by-boris-johnsons-brexit-progress-claims,0.0
33,Boris Johnson turns Biarritz swim into Brexit metaphor,Politics,2019-08-25,https://www.theguardian.com/politics/2019/aug/25/boris-johnson-biarritz-swim-brexit-metaphor,0.0
34,Thursday briefing: Brexit bullying blights school life,World news,2019-08-22,https://www.theguardian.com/world/2019/aug/22/thursday-briefing-brexit-bullying-blights-school-life,0.0
35,No-deal Brexit: your financial survival guide,Money,2019-08-03,https://www.theguardian.com/money/2019/aug/03/no-deal-brexit-house-prices-jobs-prices-pensions,0.0
36,Labour heading for Brexit strategy showdown in Brighton,Politics,2019-09-18,https://www.theguardian.com/politics/2019/sep/18/labour-heading-for-brexit-strategy-showdown-in-brighton,0.0
37,Kier warns of Brexit fallout after £245m loss,Business,2019-09-19,https://www.theguardian.com/business/2019/sep/19/kier-warns-of-brexit-fallout-after-245m-loss,0.0
38,Importers stockpile alcohol for Christmas to avoid Brexit drought,Business,2019-09-18,https://www.theguardian.com/business/2019/sep/18/importers-stockpile-alcohol-for-christmas-to-avoid-brexit-drought,0.0
39,Boris Johnson’s Brexit machinations and the UK’s constitutional law | Letters,Politics,2019-09-18,https://www.theguardian.com/politics/2019/sep/18/boris-johnson-brexit-machinations-and-the-uk-constitutional-law,0.0
40,"Brexit crisis damaging civil service morale, say insiders",Politics,2019-08-29,https://www.theguardian.com/politics/2019/aug/29/brexit-crisis-damaging-civil-service-morale-say-insiders,0.0
41,Toyota plans post-Brexit pause at Burnaston factory,Business,2019-08-29,https://www.theguardian.com/business/2019/aug/29/toyota-brexit-burnaston-factory-no-deal,0.0
42,UK employment rate resilient despite Brexit uncertainty,Business,2019-07-29,https://www.theguardian.com/business/2019/jul/29/uk-employment-rate-resilient-despite-brexit-uncertainty,0.0
43,Boris Johnson turns Biarritz swim into Brexit metaphor,Politics,2019-08-25,https://www.theguardian.com/politics/2019/aug/25/boris-johnson-biarritz-swim-brexit-metaphor,0.0
44,Brexit ideology and the new ‘cult’ of remainism | Letters,Politics,2019-08-15,https://www.theguardian.com/politics/2019/aug/15/brexit-ideology-and-the-new-cult-of-remainism,0.13636363636363635
45,Importers stockpile alcohol for Christmas to avoid Brexit drought,Business,2019-09-18,https://www.theguardian.com/business/2019/sep/18/importers-stockpile-alcohol-for-christmas-to-avoid-brexit-drought,0.0
46,Boris Johnson’s Brexit machinations and the UK’s constitutional law | Letters,Politics,2019-09-18,https://www.theguardian.com/politics/2019/sep/18/boris-johnson-brexit-machinations-and-the-uk-constitutional-law,0.0
47,Luxembourg PM's treatment of Johnson 'may harm Brexit talks',Politics,2019-09-17,https://www.theguardian.com/politics/2019/sep/17/luxembourg-pms-treatment-of-johnson-may-harm-brexit-talks,0.0
48,Will Corbyn’s Brexit referendum strategy work? Our panel responds | Polly Toynbee and others,Opinion,2019-09-18,https://www.theguardian.com/commentisfree/2019/sep/18/jeremy-corbyn-brexit-referendum-labour-panel,0.0
49,Brexit weekly briefing: plot twists galore – but no progress,Politics,2019-09-17,https://www.theguardian.com/politics/2019/sep/17/brexit-weekly-briefing-plot-twists-galore-but-no-progress,0.0
50,Canned applause: why tinned food isn’t just for Brexit,Food,2019-09-05,https://www.theguardian.com/food/2019/sep/05/canned-applause-why-tinned-food-isnt-just-for-brexit,0.0
51,Northern Irish court dismisses case against no-deal Brexit,Politics,2019-09-12,https://www.theguardian.com/politics/2019/sep/12/northern-irish-court-dismisses-case-against-no-deal-brexit,0.0
52,Chancellor commits another £2bn for no-deal Brexit planning,Politics,2019-09-03,https://www.theguardian.com/politics/2019/sep/03/chancellor-commits-another-2bn-for-no-deal-brexit-planning,0.0
53,Brexit weekly briefing: don't write off Johnson just yet,Politics,2019-09-10,https://www.theguardian.com/politics/2019/sep/10/brexit-weekly-briefing-dont-write-off-johnson-yet,0.0
54,Domino's stockpiles toppings to beat no-deal Brexit,Business,2019-08-06,https://www.theguardian.com/business/2019/aug/06/dominos-stockpiles-toppings-to-beat-any-no-deal-brexit,0.0
55,Brexit weekly briefing: election speculation and sliding sterling,Politics,2019-08-06,https://www.theguardian.com/politics/2019/aug/06/brexit-weekly-briefing-election-speculation-sliding-sterling,0.0
56,Brexit and Boeing 737 Max dent Tui profits,Business,2019-08-13,https://www.theguardian.com/business/2019/aug/13/brexit-and-boeing-dent-tui-profits,0.0
57,Brexit weekly briefing: snap election looks increasingly likely,Politics,2019-08-13,https://www.theguardian.com/politics/2019/aug/13/brexit-weekly-briefing-snap-election-looks-increasingly-likely,0.0
58,Byelection defeat highlights Brexit urgency for Johnson,Politics,2019-08-02,https://www.theguardian.com/politics/2019/aug/02/byelection-defeat-highlights-brexit-urgency-johnson-brecon-tories,0.0
59,Sir Nicholas Soames says Tories started resembling 'Brexit sect',Politics,2019-09-07,https://www.theguardian.com/politics/2019/sep/07/sir-nicholas-soames-says-tories-started-resembling-brexit-sect-boris-johnson-jacob-rees-mogg,0.0
60,Brexit ideology and the new ‘cult’ of remainism | Letters,Politics,2019-08-15,https://www.theguardian.com/politics/2019/aug/15/brexit-ideology-and-the-new-cult-of-remainism,0.13636363636363635
61,Universities brace for Brexit protests as students flex muscles,Education,2019-09-10,https://www.theguardian.com/education/2019/sep/10/universities-brace-for-brexit-protests-as-students-flex-muscles,0.0
62,Boris Johnson’s Brexit becomes clearer by the minute | Letters,Politics,2019-07-28,https://www.theguardian.com/politics/2019/jul/28/boris-johnsons-brexit-becomes-clearer-by-the-minute,0.0
63,Getting to grips with the Labour party’s Brexit policy | Letters,Politics,2019-09-09,https://www.theguardian.com/politics/2019/sep/09/getting-to-grips-with-labour-party-brexit-policy,0.0
64,Japanese parent company pulls plug on Albemarle & Bond over Brexit,Business,2019-09-17,https://www.theguardian.com/business/2019/sep/17/japanese-parent-company-pulls-plug-on-albemarle-bond-over-brexit,0.0
65,Brexit: Johnson rejects Macron's two-week deadline for backstop plan,Politics,2019-09-19,https://www.theguardian.com/politics/2019/sep/19/brexit-eu-must-take-risks-with-irish-border-says-barclay,0.0
66,"Morning mail: NSW Libs spill, Brexit farce, bonus culture unchecked",Australia news,2019-09-17,https://www.theguardian.com/australia-news/2019/sep/17/morning-mail-nsw-libs-spill-brexit-farce-bonus-culture-unchecked,-0.4
67,Johnson: no transition period extension if Brexit deal is struck,Politics,2019-09-16,https://www.theguardian.com/politics/2019/sep/16/johnson-no-transition-period-extension-if-brexit-deal-is-struck,0.0
68,Labour members to push for anti-Brexit stance at conference,Politics,2019-09-15,https://www.theguardian.com/politics/2019/sep/15/labour-members-to-push-for-anti-brexit-stance-at-conference,0.0
69,Watch Dogs Legion's dystopian post-Brexit London,Games,2019-06-26,https://www.theguardian.com/games/2019/jun/26/watch-dogs-legions-dystopian-post-brexit-london,0.0
70,Corbyn demands release of latest no-deal Brexit assessments,Politics,2019-08-19,https://www.theguardian.com/politics/2019/aug/19/corbyn-demands-release-of-latest-no-deal-brexit-assessments,0.5
71,Canned applause: why tinned food isn’t just for Brexit,Food,2019-09-05,https://www.theguardian.com/food/2019/sep/05/canned-applause-why-tinned-food-isnt-just-for-brexit,0.0
72,Monday briefing: Brexit leak feeds No 10 blame game,World news,2019-08-19,https://www.theguardian.com/world/2019/aug/19/monday-briefing-brexit-leak-feeds-no-10-blame-game,-0.4
73,No-deal Brexit: key points of Operation Yellowhammer report,Politics,2019-08-18,https://www.theguardian.com/politics/2019/aug/18/no-deal-brexit-key-points-of-operation-yellowhammer-report,0.0
74,Has Brexit vote hit UK university rankings? | Letters,Politics,2019-06-24,https://www.theguardian.com/politics/2019/jun/24/has-brexit-vote-hit-uk-university-rankings,0.0
75,Bringing Boris Johnson back to Earth about Brexit | Letters,Politics,2019-07-22,https://www.theguardian.com/politics/2019/jul/22/bringing-boris-johnson-back-to-earth-about-brexit,0.0
76,Chancellor commits another £2bn for no-deal Brexit planning,Politics,2019-09-03,https://www.theguardian.com/politics/2019/sep/03/chancellor-commits-another-2bn-for-no-deal-brexit-planning,0.0
77,Domino's stockpiles toppings to beat no-deal Brexit,Business,2019-08-06,https://www.theguardian.com/business/2019/aug/06/dominos-stockpiles-toppings-to-beat-any-no-deal-brexit,0.0
78,Johnson can’t escape the clutches of May’s zombie Brexit deal | Rafael Behr,Opinion,2019-09-10,https://www.theguardian.com/commentisfree/2019/sep/10/boris-johnson-brexit-theresa-may-withdrawal-agreement,0.0
79,Brexit weekly briefing: election speculation and sliding sterling,Politics,2019-08-06,https://www.theguardian.com/politics/2019/aug/06/brexit-weekly-briefing-election-speculation-sliding-sterling,0.0
80,Universities brace for Brexit protests as students flex muscles,Education,2019-09-10,https://www.theguardian.com/education/2019/sep/10/universities-brace-for-brexit-protests-as-students-flex-muscles,0.0
81,Japanese parent company pulls plug on Albemarle & Bond over Brexit,Business,2019-09-17,https://www.theguardian.com/business/2019/sep/17/japanese-parent-company-pulls-plug-on-albemarle-bond-over-brexit,0.0
82,Brexit: Johnson rejects Macron's two-week deadline for backstop plan,Politics,2019-09-19,https://www.theguardian.com/politics/2019/sep/19/brexit-eu-must-take-risks-with-irish-border-says-barclay,0.0
83,"Morning mail: NSW Libs spill, Brexit farce, bonus culture unchecked",Australia news,2019-09-17,https://www.theguardian.com/australia-news/2019/sep/17/morning-mail-nsw-libs-spill-brexit-farce-bonus-culture-unchecked,-0.4
84,Johnson: no transition period extension if Brexit deal is struck,Politics,2019-09-16,https://www.theguardian.com/politics/2019/sep/16/johnson-no-transition-period-extension-if-brexit-deal-is-struck,0.0
85,Labour members to push for anti-Brexit stance at conference,Politics,2019-09-15,https://www.theguardian.com/politics/2019/sep/15/labour-members-to-push-for-anti-brexit-stance-at-conference,0.0
86,Anti-Brexit protesters decry Johnson's 'coup' in cities across UK,Politics,2019-09-07,https://www.theguardian.com/politics/2019/sep/07/anti-brexit-protesters-decry-johnsons-coup-in-london-and-leeds,0.0
87,Watch Dogs Legion's dystopian post-Brexit London,Games,2019-06-26,https://www.theguardian.com/games/2019/jun/26/watch-dogs-legions-dystopian-post-brexit-london,0.0
88,Corbyn demands release of latest no-deal Brexit assessments,Politics,2019-08-19,https://www.theguardian.com/politics/2019/aug/19/corbyn-demands-release-of-latest-no-deal-brexit-assessments,0.5
89,Beyond the backstop: how Johnson wants to change Brexit deal,Politics,2019-09-06,https://www.theguardian.com/politics/2019/sep/06/backstop-boris-johnson-brexit-deal-changes-defence-workers-rights,0.2
90,Labour members to push for anti-Brexit stance at conference,Politics,2019-09-15,https://www.theguardian.com/politics/2019/sep/15/labour-members-to-push-for-anti-brexit-stance-at-conference,0.0
91,The Guardian view on the world and Brexit: rue Britannia | Editorial,Opinion,2019-09-08,https://www.theguardian.com/commentisfree/2019/sep/08/the-guardian-view-on-the-world-and-brexit-rue-britannia,0.0
92,What's new in Johnson's attempt to remove Brexit backstop?,Politics,2019-08-20,https://www.theguardian.com/politics/2019/aug/20/whats-new-in-boris-johnsons-fresh-bid-to-remove-brexit-backstop,0.13636363636363635
93,Northern Irish unionists fear post-Brexit land grabs,UK news,2019-07-18,https://www.theguardian.com/uk-news/2019/jul/18/northern-irish-unionists-fear-post-brexit-land-grabs,0.0
94,Watch Dogs Legion's dystopian post-Brexit London,Games,2019-06-26,https://www.theguardian.com/games/2019/jun/26/watch-dogs-legions-dystopian-post-brexit-london,0.0
95,Corbyn demands release of latest no-deal Brexit assessments,Politics,2019-08-19,https://www.theguardian.com/politics/2019/aug/19/corbyn-demands-release-of-latest-no-deal-brexit-assessments,0.5
96,Britons indulge in surprise pre-Brexit house buying spree,Money,2019-08-19,https://www.theguardian.com/money/2019/aug/19/britons-indulge-in-surprise-pre-brexit-house-buying-spree,0.0
97,Monday briefing: Brexit leak feeds No 10 blame game,World news,2019-08-19,https://www.theguardian.com/world/2019/aug/19/monday-briefing-brexit-leak-feeds-no-10-blame-game,-0.4
98,Brexit: leaked papers predict food shortages and port delays,Politics,2019-08-18,https://www.theguardian.com/politics/2019/aug/18/brexit-leaked-papers-predict-food-shortages-and-port-delays-operation-yellowhammer,0.0
99,No-deal Brexit food shortages: tell us if you are a business owner who's stockpiling?,Business,2019-09-12,https://www.theguardian.com/business/2019/sep/12/no-deal-brexit-food-shortages-are-you-a-small-business-owner-whos-stockpiling,0.0
100,Opposition parties agree to block election until Brexit delay secured,Politics,2019-09-06,https://www.theguardian.com/politics/2019/sep/06/opposition-parties-agree-block-snap-election-until-brexit-delay-secured,0.0
101,No-deal Brexit: key points of Operation Yellowhammer report,Politics,2019-08-18,https://www.theguardian.com/politics/2019/aug/18/no-deal-brexit-key-points-of-operation-yellowhammer-report,0.0
102,"Suspending parliament not done to stifle Brexit debate, says Wallace",Politics,2019-09-12,https://www.theguardian.com/politics/2019/sep/12/suspending-parliament-not-shut-down-brexit-debate-ben-wallace,0.0
103,Yellowhammer: no-deal chaos fears as secret Brexit papers published,Politics,2019-09-11,https://www.theguardian.com/politics/2019/sep/11/operation-yellowhammer-fears-no-deal-brexit-chaos-forced-to-publish-secret-papers,-0.4
104,Has Brexit vote hit UK university rankings? | Letters,Politics,2019-06-24,https://www.theguardian.com/politics/2019/jun/24/has-brexit-vote-hit-uk-university-rankings,0.0
105,Bringing Boris Johnson back to Earth about Brexit | Letters,Politics,2019-07-22,https://www.theguardian.com/politics/2019/jul/22/bringing-boris-johnson-back-to-earth-about-brexit,0.0
106,Michael Gove to meet Irish deputy PM for Brexit talks,Politics,2019-09-05,https://www.theguardian.com/politics/2019/sep/05/michael-gove-meet-irish-deputy-pm-brexit-border-talks,0.0
107,Nigel Farage offers Boris Johnson no-deal Brexit election pact,Politics,2019-09-11,https://www.theguardian.com/politics/2019/sep/11/nigel-farage-boris-johnson-no-deal-brexit-election-non-aggression-pact,0.1
108,Irish PM 'looking forward' to hearing Boris Johnson's Brexit proposals,Politics,2019-09-04,https://www.theguardian.com/politics/2019/sep/04/irish-pm-looking-forward-to-hearing-boris-johnsons-brexit-proposals,0.0
109,Fake anti-Brexit banknotes added to British Museum collection,Art and design,2019-08-09,https://www.theguardian.com/artanddesign/2019/aug/09/fake-anti-brexit-banknotes-added-to-british-museum-collection,-0.25
110,Johnson can’t escape the clutches of May’s zombie Brexit deal | Rafael Behr,Opinion,2019-09-10,https://www.theguardian.com/commentisfree/2019/sep/10/boris-johnson-brexit-theresa-may-withdrawal-agreement,0.0
111,"Morning mail: abortion bill vote, Crown questions, Brexit poker",Australia news,2019-08-09,https://www.theguardian.com/australia-news/2019/aug/09/morning-mail-abortion-bill-vote-crown-questions-brexit-poker,0.0
112,End to Brexit uncertainty cannot come too soon for factories | Larry Elliott,Business,2019-09-02,https://www.theguardian.com/business/2019/sep/02/end-to-brexit-chaos-cannot-come-too-soon-for-factories-us-china-trade-war,0.0
113,Johnson sparks cross-party backlash over Brexit 'collaboration' claim,Politics,2019-08-14,https://www.theguardian.com/politics/2019/aug/14/johnson-sparks-cross-party-backlash-over-brexit-collaboration-claim,0.0
114,The limits to Labour’s ambiguity on Brexit | Letters,Politics,2019-06-20,https://www.theguardian.com/politics/2019/jun/20/the-limits-to-labour-ambiguity-on-brexit,0.0
115,Could parliament's latest amendment stop no-deal Brexit?,Politics,2019-07-18,https://www.theguardian.com/politics/2019/jul/18/could-parliaments-latest-amendment-stop-no-deal-brexit,0.5
116,Anti-Brexit protesters decry Johnson's 'coup' in cities across UK,Politics,2019-09-07,https://www.theguardian.com/politics/2019/sep/07/anti-brexit-protesters-decry-johnsons-coup-in-london-and-leeds,0.0
117,Beyond the backstop: how Johnson wants to change Brexit deal,Politics,2019-09-06,https://www.theguardian.com/politics/2019/sep/06/backstop-boris-johnson-brexit-deal-changes-defence-workers-rights,0.2
118,Brave politician or Brexit traitor? Constituents gauge Rory Stewart's future,Politics,2019-09-07,https://www.theguardian.com/politics/2019/sep/07/rory-stewart-personal-brand-leave-voting-seat-penrith-and-the-border-brexit,0.4
119,Brexit deadline piles pressure on UK farmers to export surplus,Environment,2019-09-07,https://www.theguardian.com/environment/2019/sep/07/brexit-deadline-piles-pressure-on-uk-farmers-to-export-surplus,0.0
120,"EU given Brexit draft with backstop scrubbed out, UK sources admit",Politics,2019-09-17,https://www.theguardian.com/politics/2019/sep/17/eu-given-brexit-draft-with-backstop-scrubbed-out-uk-sources-admit,0.0
121,"Interest rate cut more likely due to Brexit uncertainty, says Bank",Business,2019-09-19,https://www.theguardian.com/business/2019/sep/19/interest-rate-cut-bank-of-england-brexit-uncertainty-trade-war,0.125
122,Northern Irish unionists fear post-Brexit land grabs,UK news,2019-07-18,https://www.theguardian.com/uk-news/2019/jul/18/northern-irish-unionists-fear-post-brexit-land-grabs,0.0
123,The Guardian view on the world and Brexit: rue Britannia | Editorial,Opinion,2019-09-08,https://www.theguardian.com/commentisfree/2019/sep/08/the-guardian-view-on-the-world-and-brexit-rue-britannia,0.0
124,DUP appears to soften stance on accepting EU regulations after Brexit,Politics,2019-09-16,https://www.theguardian.com/politics/2019/sep/16/dup-soften-stance-eu-regulations-brexit,0.0
125,Brexit uncertainty triggers first September fall in house prices since 2010,Business,2019-09-16,https://www.theguardian.com/business/2019/sep/16/brexit-uncertainty-triggers-first-september-fall-in-house-prices-since-2010,0.25
126,Johnson and Macron to hold ‘frank’ Brexit talks in Paris,Politics,2019-08-22,https://www.theguardian.com/politics/2019/aug/22/johnson-and-macron-to-hold-frank-brexit-talks-in-paris,0.0
127,Anti-Brexit protesters decry Johnson's 'coup' in cities across UK,Politics,2019-09-07,https://www.theguardian.com/politics/2019/sep/07/anti-brexit-protesters-decry-johnsons-coup-in-london-and-leeds,0.0
128,Opposition parties agree to block election until Brexit delay secured,Politics,2019-09-06,https://www.theguardian.com/politics/2019/sep/06/opposition-parties-agree-block-snap-election-until-brexit-delay-secured,0.0
129,Beyond the backstop: how Johnson wants to change Brexit deal,Politics,2019-09-06,https://www.theguardian.com/politics/2019/sep/06/backstop-boris-johnson-brexit-deal-changes-defence-workers-rights,0.2
130,‘We literally need more roads’: ports brace for Brexit chaos,Politics,2019-08-21,https://www.theguardian.com/politics/2019/aug/21/uk-main-ports-brexit-chaos-portsmouth-dover,0.5
131,How has Brexit vote affected the UK economy? August verdict,Business,2019-08-28,https://www.theguardian.com/business/2019/aug/28/how-has-brexit-vote-affected-the-uk-economy-august-verdict,0.0
132,"Ireland, Brexit and the search for a way forward | Letters",Politics,2019-08-02,https://www.theguardian.com/politics/2019/aug/02/ireland-brexit-and-the-search-for-a-way-forward,0.0
133,Archbishop of Canterbury says he may chair Brexit citizens’ forum,Politics,2019-08-27,https://www.theguardian.com/politics/2019/aug/27/archbishop-of-canterbury-says-he-may-chair-brexit-citizens-forum,0.0
134,Ai Weiwei: I'm looking forward to arguing with Brits about Brexit,Art and design,2019-09-13,https://www.theguardian.com/artanddesign/2019/sep/13/ai-weiwei-brits-brexit-chinese-dissident,0.0
135,"EU will not renegotiate Brexit deal, Juncker tells Johnson",Politics,2019-07-25,https://www.theguardian.com/politics/2019/jul/25/michel-barnier-boris-johnsons-combative-rhetoric-targets-eu-unity,0.0
136,Corbyn could support pre-Brexit election to stop no deal,Politics,2019-08-27,https://www.theguardian.com/politics/2019/aug/27/jeremy-corbyn,0.0
137,Tuesday briefing: Corbyn opens talks to block no-deal Brexit,World news,2019-08-27,https://www.theguardian.com/world/2019/aug/27/tuesday-briefing-corbyn-opens-talks-to-block-no-deal-brexit,0.0
138,John Bercow: I’ll stop Boris Johnson breaking the law on Brexit,Politics,2019-09-12,https://www.theguardian.com/politics/2019/sep/12/bercow-warns-pm-not-to-defy-law-on-no-deal-brexit,0.0
139,The Brexit crisis is political. Its resolution must be political too | Simon Jenkins,Opinion,2019-09-12,https://www.theguardian.com/commentisfree/2019/sep/12/brexit-irish-backstop-johnson-compromise,0.0
140,"Brexit, class and what Labour should do next | Letters",Politics,2019-06-27,https://www.theguardian.com/politics/2019/jun/27/brexit-class-and-what-labour-must-do-next,0.0
141,"Morning mail: abortion bill vote, Crown questions, Brexit poker",Australia news,2019-08-09,https://www.theguardian.com/australia-news/2019/aug/09/morning-mail-abortion-bill-vote-crown-questions-brexit-poker,0.0
142,"US briefing: Bahamas storm tragedy, Brexit drama and Hong Kong",US news,2019-09-04,https://www.theguardian.com/us-news/2019/sep/04/us-briefing-bahamas-storm-tragedy-brexit-drama-hong-kong,0.0
143,Brussels greets Boris Johnson victory by rejecting Brexit plans,World news,2019-07-23,https://www.theguardian.com/world/2019/jul/23/brussels-greets-boris-johnson-victory-rejecting-brexit-plans,0.0
144,Channel Tunnel group says no-deal Brexit 'very likely',UK news,2019-07-23,https://www.theguardian.com/uk-news/2019/jul/23/channel-tunnel-no-deal-brexit-getlink-bookings,0.0
145,End to Brexit uncertainty cannot come too soon for factories | Larry Elliott,Business,2019-09-02,https://www.theguardian.com/business/2019/sep/02/end-to-brexit-chaos-cannot-come-too-soon-for-factories-us-china-trade-war,0.0
146,EU looks to Northern Ireland-only backstop to break Brexit impasse,Politics,2019-09-10,https://www.theguardian.com/politics/2019/sep/10/brexit-eu-looks-to-northern-ireland-only-backstop-to-break-deadlock,0.0
147,House prices fall unexpectedly as pre-Brexit caution bites,Business,2019-08-08,https://www.theguardian.com/business/2019/aug/08/house-prices-fall-unexpectedly-pre-brexit-caution-bites,0.1
148,How far will they go? The Tory tribes opposing Brexit,Politics,2019-08-16,https://www.theguardian.com/politics/2019/aug/16/deal-or-no-deal-brexit-the-tory-tribes-weighing-up-their-next-moves,0.1
149,"House prices could nosedive after no-deal Brexit, says KPMG",Money,2019-09-02,https://www.theguardian.com/money/2019/sep/02/house-prices-could-nosedive-after-no-deal-brexit-says-kpmg,0.0
150,"Brexit ferry fiasco could be repeated, MPs warn",Politics,2019-07-10,https://www.theguardian.com/politics/2019/jul/10/brexit-ferry-fiasco-could-be-repeated-mps-warn,0.0
151,Incoming prime minister poses a Brexit puzzle for Brussels,Politics,2019-07-21,https://www.theguardian.com/politics/2019/jul/21/prime-minister-brexit-brussels-eu,0.0
152,Labour’s Brexit stance: is the fog really clearing? | Letters,Politics,2019-07-09,https://www.theguardian.com/politics/2019/jul/09/labour-brexit-stance-is-the-fog-really-clearing,0.2
